,Name,Height,Weight,Reach,Stance,DOB,SLpm,SAcc,SApm,StrDef,TDAvg,TDAcc,TDDef,SubAvg,AvgTime2Win,Name,Height,Weight,Reach,Stance,DOB,SLpm,SAcc,SApm,StrDef,TDAvg,TDAcc,TDDef,SubAvg,AvgTime2Win,Win
0,Chan Sung Jung,1.7018,145,72,Orthodox,1987,4.58,0.41,3.73,0.6,0.78,0.41,0.77,0.6,5.49,Frankie Edgar,1.6764,145,68,Orthodox,1981,3.6,0.4,2.48,0.68,2.34,0.31,0.65,0.3,15.46,1
1,Volkan Oezdemir,1.8796,205,75,Orthodox,1989,4.88,0.45,4.14,0.55,0.39,0.22,0.8,0,8.14,Aleksandar Rakic,1.9304,205,78,Orthodox,1992,5.17,0.52,2.41,0.53,1.2,0.28,0.88,0.3,8.72,1
2,Junyong Park,1.778,185,73,Orthodox,1991,6.41,0.47,4.46,0.59,3.04,0.5,0.45,0,15,Marc-Andre Barriault,1.8542,185,74,Orthodox,1990,3.53,0.43,4.2,0.58,0.33,0.16,0.68,0,0,1
3,Kyung Ho Kang,1.7526,135,73,Orthodox,1987,2.52,0.44,2.43,0.58,2.53,0.59,0.71,1.1,11.29,Liu Pingyuan,1.6764,135,72,Orthodox,1993,2.36,0.33,2.99,0.54,0.25,0.2,0.56,1,15,1
4,Omar Morales,1.8034,155,73,Orthodox,1985,3.6,0.49,1.8,0.62,0.71,1,1,0,15,Dong Hyun Ma,1.8034,155,70,Orthodox,1988,2.84,0.41,4.1,0.54,1.27,0.53,0.33,0,10.5,1
5,Alexandre Pantoja,1.651,125,67,Orthodox,1990,4.58,0.47,3.53,0.56,1.1,0.35,0.6,1.3,8.68,Matt Schnell,1.7272,125,70,Orthodox,1990,3.73,0.35,4.07,0.6,0.64,0.33,0.53,1.6,8.67,1
6,Raoni Barcelos,1.7018,135,67,Orthodox,1987,4.79,0.5,4.46,0.64,2.31,0.58,0.83,0.7,11.38,Said Nurmagomedov,1.7272,135,70,Orthodox,1992,4.22,0.44,2.34,0.61,0.46,0.07,0.66,0,8.73,1
7,Heili Alateng,1.651,135,66,Orthodox,1991,2.77,0.37,5.1,0.57,3.5,0.35,1,0,15,Ryan Benoit,1.651,125,68,Orthodox,1989,2.8,0.4,3.18,0.6,0.2,0.16,0.64,0.2,11.4,1
8,Kamaru Usman,1.8288,170,76,Switch,1987,4.6,0.52,2.17,0.6,3.44,0.5,1,0.2,16.66,Colby Covington,1.8034,170,72,Orthodox,1988,4.17,0.37,3.02,0.55,4.91,0.51,0.78,0.2,15.15,1
9,Alexander Volkanovski,1.6764,145,71,Orthodox,1988,6.15,0.57,3.14,0.59,2.16,0.34,0.72,0.4,13.91,Max Holloway,1.8034,145,69,Orthodox,1991,6.66,0.44,4.45,0.62,0.24,0.83,0.85,0.4,13.38,1
10,Amanda Nunes,1.7272,135,69,Orthodox,1988,4.34,0.49,2.63,0.55,2.33,0.47,0.8,0.7,8.29,Germaine de Randamie,1.7526,135,71,Orthodox,1984,2.72,0.47,2.15,0.64,0,0,0.71,0.2,10.69,1
11,Marlon Moraes,1.6764,135,67,Orthodox,1988,3.53,0.39,3.69,0.58,0.46,0.25,0.66,0.5,6.99,Jose Aldo,1.7018,135,70,Orthodox,1986,3.47,0.44,3.18,0.65,0.64,0.65,0.91,0.1,13.61,1
12,Petr Yan,1.7018,135,67,Switch,1993,5.65,0.46,3.15,0.67,1.73,0.53,0.87,0.2,11.53,Urijah Faber,1.6764,135,67,Orthodox,1979,2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8,9.42,1
13,Geoff Neal,1.8034,170,75,Southpaw,1990,6.04,0.49,3.57,0.65,0.85,0.5,0.92,0.4,6.67,Mike Perry,1.778,170,71,Orthodox,1991,4.27,0.47,4.5,0.57,0.61,0.41,0.7,0,9.28,1
14,Irene Aldana,1.7526,135,68,Orthodox,1988,6.16,0.38,5.92,0.63,0.28,0.5,0.93,0.1,12.65,Ketlen Vieira,1.7272,135,68,Orthodox,1991,2.74,0.35,3.82,0.57,2.03,0.57,0.92,0.8,13.57,1
15,Omari Akhmedov,1.8288,185,73,Orthodox,1987,2.99,0.34,2.77,0.58,2.4,0.5,0.62,0.2,12.31,Ian Heinisch,1.8034,185,72,Orthodox,1988,3.38,0.5,2.86,0.59,1.18,0.19,0.62,0.5,15,1
16,Chase Hooper,1.8542,145,74,Southpaw,1999,5.16,0.63,1.89,0.31,0.77,0.16,1,3.8,4.57,Daniel Teymur,1.651,145,69,Orthodox,1988,3.08,0.46,3.93,0.56,0.56,0.18,0.6,0.3,15,1
17,Brandon Moreno,1.7018,125,70,Orthodox,1993,3.12,0.34,3.24,0.63,2.02,0.43,0.62,0.6,10.37,Kai Kara-France,1.6256,125,69,Orthodox,1993,5.28,0.41,3.9,0.67,0.75,0.37,0.88,0,15,1
18,Aspen Ladd,1.6764,135,66,Orthodox,1995,5.22,0.55,4.84,0.46,2.45,0.75,0.66,1.2,9.13,Yana Kunitskaya,1.6764,135,68,Orthodox,1989,5.05,0.52,4.12,0.49,2.39,0.53,0.2,0.3,15,1
19,Cody Stamann,1.6764,135,64,Orthodox,1989,4.25,0.49,3.06,0.64,3.58,0.48,0.86,0,15,Song Yadong,1.7272,135,67,Orthodox,1997,3.54,0.38,2.74,0.62,0.97,1,0.66,0.7,7.83,1
20,Rob Font,1.7272,135,71,Orthodox,1987,5.11,0.41,3.89,0.63,1.25,0.36,0.5,0.8,8.9,Ricky Simon,1.6764,135,69,Orthodox,1992,2.96,0.4,3.79,0.65,6.53,0.49,0.71,0.2,15,1
21,Tim Means,1.8796,170,75,Orthodox,1984,4.87,0.45,3.34,0.62,0.87,0.45,0.63,0.2,8.57,Thiago Alves,1.7526,170,70,Orthodox,1983,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,9.41,1
22,Virna Jandiroba,1.6002,115,64,Orthodox,1988,1.13,0.42,1.6,0.58,4.23,0.46,0.6,2.1,6.27,Mallory Martin,1.6256,115,63,Orthodox,1994,4.56,0.59,5.6,0.6,3.53,0.62,0.25,0,0,1
23,Makhmud Muradov,1.8796,185,75,Orthodox,1990,4.97,0.41,2.57,0.64,0.51,0.25,1,0.5,14.57,Trevor Smith,1.905,185,75,Orthodox,1981,3.29,0.55,3.31,0.51,1.7,0.32,0.6,0.7,12.5,1
24,Jan Blachowicz,1.8796,205,78,Orthodox,1983,3.44,0.49,2.76,0.53,1.18,0.52,0.65,0.3,11.79,Jacare Souza,1.8542,185,72,Orthodox,1979,2.54,0.46,2.81,0.62,2.46,0.38,0.6,1.4,7.96,1
25,Charles Oliveira,1.778,155,74,Orthodox,1989,3.21,0.5,3.03,0.54,2.77,0.42,0.58,2.8,6.43,Jared Gordon,1.7526,155,68,Orthodox,1988,6.26,0.54,3.9,0.58,2.98,0.39,0.57,0,13.13,1
26,Andre Muniz,1.8542,185,78,Southpaw,1990,2.27,0.59,1.79,0.46,2.83,0.35,0.33,1.4,15,Antonio Arroyo,1.905,185,73,Orthodox,1989,3.12,0.69,1.87,0.43,1.95,0.41,0.44,0.4,0,1
27,Wellington Turman,1.8288,185,72,Orthodox,1996,2.43,0.42,3.3,0.43,3,0.37,1,1,15,Markus Perez,1.8542,185,73,Orthodox,1988,2.75,0.48,3.96,0.52,1.08,0.26,0.8,1.1,5.29,1
28,James Krause,1.8796,170,73,Orthodox,1986,4.83,0.48,4.02,0.61,1.06,0.18,0.5,0.6,11,Sergio Moraes,1.8288,170,72,Orthodox,1982,2.42,0.42,3.73,0.59,1.2,0.38,0.75,0.4,12.3,1
29,Ricardo Ramos,1.7526,135,72,Orthodox,1995,3.05,0.39,3.16,0.59,2.13,0.64,0.75,0.7,12.18,Eduardo Garagorri,1.7526,145,70,Orthodox,1989,3.75,0.54,2.22,0.6,0.79,1,0.53,0,15,1
30,Francisco Trinaldo,1.7526,155,70,Southpaw,1978,3.09,0.44,2.47,0.6,1.08,0.45,0.61,0.5,11.33,Bobby Green,1.778,155,71,Orthodox,1986,4.95,0.49,3.7,0.63,1.12,0.29,0.74,0.3,12.62,1
31,Douglas Silva de Andrade,1.7018,145,68,Orthodox,1985,3.96,0.38,4.43,0.58,0.65,0.5,0.65,0,14.39,Renan Barao,1.6764,145,70,Orthodox,1987,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,12.05,1
32,Tracy Cortez,1.651,135,65,Orthodox,1993,4.83,0.54,2.63,0.61,3,0.37,1,0,15,Vanessa Melo,1.651,135,65,Orthodox,1988,3.6,0.28,6.8,0.56,0,0,0.77,0,0,1
33,Zabit Magomedsharipov,1.8542,145,73,Orthodox,1991,4.89,0.48,3,0.64,5.22,0.56,0.77,0.8,12.94,Calvin Kattar,1.8034,145,72,Orthodox,1988,5.12,0.41,6.36,0.57,0.47,0.33,0.77,0,8.45,1
